Country,Name,Code,AirportCode,AirportName
Mauritius,Canonnier Beachcomber Golf Resort & Spa,MRU40008,MRU,Mauritius
Turcja,Surtel,ADB11016,ADB,Izmir
Malediwy,Embudu Village Maldives,MLE30015,MLE,Male
Grecja,Votsalakia Beach,SMI43021,SMI,Samos
Grecja,Kresten Palace,RHO19012,RHO,Rodos
Turcja,Baia Bodrum,BJV29010,BJV,Milas-Bodrum
Grecja,Cactus Bay,HER52112,HER,Heraklion
Albania,Monaco Garden,TIA15025,TIA,Tirana
Bu³garia,Royal Perla,BOJ13030,BOJ,Burgas
Egipt,Rixos Sharm El Sheikh,SSH18043,SSH,Sharm El Sheikh
Bu³garia,Hotel Palazzo,BOJ11086,BOJ,Burgas
Bu³garia,Hotel Atlas,VAR21080,VAR,Warna
Hiszpania,BelleVue Club,PMI83063,PMI,Palma de Mallorca
Wyspy Kanaryjskie,Maspalomas Resort by Dunas,LPA41002,LPA,Gran Canaria
Wyspy Kanaryjskie,Coral Los Alisios,TFS33018,TFS,Teneryfa
Grecja,Atlantica Eleon Grand Resort,ZTH18003,ZTH,Zakynthos
Tunezja,Fiesta Beach Djerba,DJE11200,DJE,Djerba
Dominikana,Ocean El Faro,PUJ35003,PUJ,Punta Cana
"Indonezja - Bali,""The Westin Resort & Spa Ubud, Bali"",DPS21254,DPS,Denpasar"
Grecja,Hotel Samaina Inn,SMI55001,SMI,Samos
Wyspy Kanaryjskie,Elba Lucia Sport & Suite,FUE16014,FUE,Fuerteventura
Cypr,ROBINSON Cyprus,LCA16016,LCA,Larnaca
Hiszpania,H10 Casa del Mar,PMI31022,PMI,Palma de Mallorca
Grecja,Iberostar Creta Panorama & Mare,HER82007,HER,Heraklion
Grecja,Plaka Beach,ZTH12007,ZTH,Zakynthos
Turcja,Kaya Side,AYT48003,AYT,Antalya
Hiszpania,Globales Binimar,MAH30007,MAH,Minorka
Tunezja,Sidi Mansour Resort & Spa,DJE11033,DJE,Djerba
Turcja,Asteria Bodrum,BJV22067,BJV,Milas-Bodrum
Portugalia,Golden Residence,FNC11019,FNC,Funchal
Wyspy Kanaryjskie,SMY Puerto de la Cruz,TFS11022,TFS,Teneryfa
Tunezja,Iberostar Selection Diar El Andalous,NBE11091,NBE,Enfidha
Chorwacja,Valamar Dubrovnik President Hotel,DBV11020,DBV,Dubrownik
Egipt,Mövenpick Resort Soma Bay,HRG15060,HRG,Hurghada
Grecja,Grecotel Costa Botanica ex. Gelina Village,CFU12079,CFU,Korfu
Bu³garia,Cook's Club Sunny Beach,BOJ11190,BOJ,Burgas
Albania,Brilliant Hotel & SPA,TIA15102,TIA,Tirana
Indonezja - Bali,Vila Shanti,DPS18034,DPS,Denpasar
Hiszpania,Grupotel Playa Club – Aparthotel,MAH26015,MAH,Minorka
Egipt,Albatros Sea World Marsa Alam,RMF18027,RMF,Marsa Alam
Wyspy Kanaryjskie,THe Costa Taurito,LPA53005,LPA,Gran Canaria
Czarnogóra,Fagus,TGD10029,TGD,Podgorica
Wyspy Kanaryjskie,THe Lago Taurito,LPA53006,LPA,Gran Canaria
Dominikana,Bahia Principe Luxury Esmeralda ,PUJ62039,PUJ,Punta Cana
Wyspy Kanaryjskie,Jardin Tropical,TFS31089,TFS,Teneryfa
Turcja,Grand Seker,AYT41048,AYT,Antalya
Hiszpania,Viva Cala Mesquida Resort & Spa,PMI74011,PMI,Palma de Mallorca
Grecja,Kouros Palace,KGS22023,KGS,Kos
Grecja,AquaGrand of Lindos Exclusive Deluxe Resort,RHO17020,RHO,Rodos
Meksyk,Sandos Playacar Beach Resort,CUN43038,CUN,Cancun
Egipt,Dream Lagoon and Aqua Park Resort ,RMF18019,RMF,Marsa Alam
Egipt,Meraki Resort,HRG11022,HRG,Hurghada
Wyspy Kanaryjskie,Beverly Park,LPA31008,LPA,Gran Canaria
Seszele,DoubleTree by Hilton Seychelles -Allamanda Resort and Spa,SEZ31005,SEZ,Mahe
Turcja,Seher Sun Beach,AYT41021,AYT,Antalya
